method,n_iv,beta,se,pvalue,gene_symbol,ensembl_gene_id,outcome,or,or_ci_lower,or_ci_upper,egger_intercept,egger_intercept_p,cochran_q,cochran_q_p,steiger_direction,steiger_p,n_iv_preharm,n_iv_postharm,n_palindromic,n_removed,outcome_scale_original,outcome_scale_used,ukb_rescaled
Weighted mode,3,0.0486067912554246,0.429963354480569,0.920316692020009,ACACB,ENSG00000076555,BBJ_Graves,1.04980747609267,0.451978175988667,2.43838263750082,-0.0860017242455982,0.217895510784183,8.50953337811395,0.0141964025352873,,,4,3,1,1,log_odds,log_odds,FALSE
Wald ratio,1,-0.0949043050848134,0.380101514368595,0.802833688764717,ACE,ENSG00000159640,BBJ_Graves,0.909459960998,0.431752283405756,1.91572216858705,,,,,,,1,1,0,0,log_odds,log_odds,FALSE
Wald ratio,1,0.113637106426713,0.296386602898114,0.701416992982828,ACKR2,ENSG00000144648,BBJ_Graves,1.12034548492876,0.626704190442255,2.00281731755217,,,,,,,1,1,0,0,log_odds,log_odds,FALSE
Inverse variance weighted,2,0.0907200573314901,0.122249162700622,0.45803193509095,ACKR3,ENSG00000144476,BBJ_Graves,1.09496243564336,0.861665356198457,1.39142501998641,,,0.496303784511696,0.481128725088969,,,5,2,0,3,log_odds,log_odds,FALSE
Wald ratio,1,0.019580700647779,0.2027703505777,0.923071140687749,ACLY,ENSG00000131473,BBJ_Graves,1.01977365993501,0.685333850479673,1.51741857894422,,,,,,,1,1,0,0,log_odds,log_odds,FALSE
Wald ratio,1,0.159916355239255,0.268378204958297,0.551267467366077,ACP1,ENSG00000143727,BBJ_Graves,1.17341271706086,0.693430038220092,1.98563276562752,,,,,,,3,1,0,2,log_odds,log_odds,FALSE
Inverse variance weighted,3,-0.00236415645726995,0.0104214618735075,0.820536813642046,ACP2,ENSG00000134575,BBJ_Graves,0.997638635959604,0.97746751371176,1.01822601160414,-0.0187831753377475,0.647895459775328,0.755827641134508,0.685289555986358,,,11,3,0,8,log_odds,log_odds,FALSE
MR Egger,3,0.00301896319104267,0.0135881791563558,0.860819250063667,ACP2,ENSG00000134575,BBJ_Graves,1.00302352484976,0.976662757745588,1.03009578631245,-0.0187831753377475,0.647895459775328,0.755827641134508,0.685289555986358,,,11,3,0,8,log_odds,log_odds,FALSE
Weighted median,3,-0.00238795772754569,0.0108363186852585,0.825586013101999,ACP2,ENSG00000134575,BBJ_Graves,0.997614891175371,0.976649793224176,1.01903003307799,-0.0187831753377475,0.647895459775328,0.755827641134508,0.685289555986358,,,11,3,0,8,log_odds,log_odds,FALSE
Weighted mode,3,-0.00156215818537317,0.0455271917473328,0.975744437196553,ACP2,ENSG00000134575,BBJ_Graves,0.998439061348607,0.913204484111901,1.09162906727967,-0.0187831753377475,0.647895459775328,0.755827641134508,0.685289555986358,,,11,3,0,8,log_odds,log_odds,FALSE
