method,n_iv,beta,se,pvalue,gene_symbol,ensembl_gene_id,outcome,or,or_ci_lower,or_ci_upper,egger_intercept,egger_intercept_p,cochran_q,cochran_q_p,steiger_direction,steiger_p,n_iv_preharm,n_iv_postharm,n_palindromic,n_removed,outcome_scale_original,outcome_scale_used,ukb_rescaled
Wald ratio,1,-0.184940000908503,0.113521552866982,0.103288049352492,ECM1,ENSG00000143369,UKB_hyperthyroid,0.831154150850068,0.665349877884732,1.03827662022203,,,,,,,1,1,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,2,-0.102634286104069,0.499710921972099,0.837269527743173,EDAR,ENSG00000135960,UKB_hyperthyroid,0.9024569541872,0.338894071741846,2.40319504550446,,,4.74607447610083,0.0293652100321504,,,2,2,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,2,0.0996746687039365,0.0769359295616709,0.195129107766146,EDEM2,ENSG00000088298,UKB_hyperthyroid,1.10481142986805,0.950164878399261,1.28462788229285,,,0.367486964723117,0.544377284329426,,,3,2,0,1,LMM_binary,log_odds,TRUE
Inverse variance weighted,2,0.0916596518451341,0.461657820014458,0.842619019509696,EDN1,ENSG00000078401,UKB_hyperthyroid,1.09599173982909,0.443441373995374,2.70880879461223,,,7.02422558286467,0.00804142409058863,,,2,2,0,0,LMM_binary,log_odds,TRUE
Wald ratio,1,0.0905932422117232,0.101649899979648,0.37280683874632,EDN3,ENSG00000124205,UKB_hyperthyroid,1.0948235866552,0.897052794645537,1.3361963677625,,,,,,,1,1,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,2,-0.0701811380078482,0.286913267562714,0.806760353829309,EEF2,ENSG00000167658,UKB_hyperthyroid,0.932224943242333,0.531245439935715,1.63586033775336,,,4.32877439573145,0.037473219020649,,,2,2,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,3,0.0760697496076466,0.116810493076289,0.51490215924391,EFEMP2,ENSG00000172638,UKB_hyperthyroid,1.07903783399814,0.858233718999549,1.35664985122777,-0.0321307932254316,0.606965149179242,5.40273167364243,0.0671137836336167,,,3,3,0,0,LMM_binary,log_odds,TRUE
MR Egger,3,0.190688945335924,0.210258378797912,0.531047493893078,EFEMP2,ENSG00000172638,UKB_hyperthyroid,1.21008299157599,0.801382051783817,1.82721941830625,-0.0321307932254316,0.606965149179242,5.40273167364243,0.0671137836336167,,,3,3,0,0,LMM_binary,log_odds,TRUE
Weighted median,3,0.100513386521613,0.0755888676994894,0.1836046240597,EFEMP2,ENSG00000172638,UKB_hyperthyroid,1.10573844359658,0.95347621978941,1.28231567843132,-0.0321307932254316,0.606965149179242,5.40273167364243,0.0671137836336167,,,3,3,0,0,LMM_binary,log_odds,TRUE
Weighted mode,3,0.12753949570777,0.318559835634691,0.727605951256694,EFEMP2,ENSG00000172638,UKB_hyperthyroid,1.13602973565358,0.608451677537357,2.12106171769064,-0.0321307932254316,0.606965149179242,5.40273167364243,0.0671137836336167,,,3,3,0,0,LMM_binary,log_odds,TRUE
Wald ratio,1,0.0688073397101303,0.3793184755887,0.856055753741439,EFNA1,ENSG00000169242,UKB_hyperthyroid,1.07122980582122,0.509331156182497,2.2530200301915,,,,,,,1,1,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,2,-0.460793226496552,0.302487489062286,0.127672065142415,EFNA5,ENSG00000184349,UKB_hyperthyroid,0.630783093144414,0.348656282819033,1.14120218164362,,,0.377779518386962,0.538794002700324,,,2,2,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,2,-0.117595830140829,0.279842082364426,0.674323204743725,EFTUD1,ENSG00000140598,UKB_hyperthyroid,0.889055309368534,0.513715169750978,1.53863344837477,,,0.165481005471161,0.684159612549343,,,2,2,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,2,0.00836143220578464,0.10164811396238,0.934441070066737,EFTUD2,ENSG00000108883,UKB_hyperthyroid,1.00839648661362,0.826240925061659,1.23071061160376,,,1.67589739628784,0.195470485164776,,,3,2,1,1,LMM_binary,log_odds,TRUE
Wald ratio,1,-0.10038630680244,0.145147121360151,0.489177492650942,EGF,ENSG00000138798,UKB_hyperthyroid,0.904487940693354,0.680535926055562,1.2021384963487,,,,,,,1,1,0,0,LMM_binary,log_odds,TRUE
Wald ratio,1,0.89071615339085,0.212091064974908,2.67283844794703e-05,EGFL8,ENSG00000241404,UKB_hyperthyroid,2.43687420225529,1.60804260497989,3.69290954059742,,,,,,,1,1,0,0,LMM_binary,log_odds,TRUE
Wald ratio,1,0.121006934840792,0.110676473207074,0.274244865322382,EGLN1,ENSG00000135766,UKB_hyperthyroid,1.12863273922856,0.908537647658038,1.40204631403235,,,,,,,1,1,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,3,0.0298814886798782,0.0652693060506517,0.647082921805534,EGLN2,ENSG00000269858,UKB_hyperthyroid,1.03033242066242,0.906606880481853,1.17094290802631,0.0661003507790211,0.54307608219668,2.29267824838326,0.317798061644524,,,4,3,2,1,LMM_binary,log_odds,TRUE
MR Egger,3,-0.169501539933967,0.238721613424599,0.606930900245282,EGLN2,ENSG00000269858,UKB_hyperthyroid,0.844085454643499,0.528667334483724,1.34769108713044,0.0661003507790211,0.54307608219668,2.29267824838326,0.317798061644524,,,4,3,2,1,LMM_binary,log_odds,TRUE
Weighted median,3,0.0145685279648824,0.0632955564184527,0.817962253718164,EGLN2,ENSG00000269858,UKB_hyperthyroid,1.01467516619311,0.896290443703514,1.14869649690206,0.0661003507790211,0.54307608219668,2.29267824838326,0.317798061644524,,,4,3,2,1,LMM_binary,log_odds,TRUE
Weighted mode,3,0.0121012399660417,0.182364108962796,0.953129676992429,EGLN2,ENSG00000269858,UKB_hyperthyroid,1.01217475621704,0.70798497051419,1.44706142049734,0.0661003507790211,0.54307608219668,2.29267824838326,0.317798061644524,,,4,3,2,1,LMM_binary,log_odds,TRUE
Wald ratio,1,-0.0174860575987518,0.13669721228733,0.898213729518366,EGLN3,ENSG00000129521,UKB_hyperthyroid,0.98266593629234,0.751704041989563,1.28459112683966,,,,,,,2,1,1,1,LMM_binary,log_odds,TRUE
Wald ratio,1,-0.0225717393289438,0.105623114056149,0.830780421728672,EHMT1,ENSG00000181090,UKB_hyperthyroid,0.97768109649166,0.794857009412659,1.20255632789028,,,,,,,1,1,0,0,LMM_binary,log_odds,TRUE
Wald ratio,1,0.719903525203107,0.275355806081391,0.00893716793738102,EHMT2,ENSG00000204371,UKB_hyperthyroid,2.05423501917756,1.19746418927479,3.52401479043066,,,,,,,1,1,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,3,-0.22848162001338,0.103588285238218,0.0274070821796295,EIF2AK1,ENSG00000086232,UKB_hyperthyroid,0.795740922777589,0.649524541036005,0.974872504698523,-0.0387783824380079,0.470433187921574,1.33639427841641,0.512631949223236,,,3,3,1,0,LMM_binary,log_odds,TRUE
MR Egger,3,-0.0092603152244956,0.225011444230378,0.97381477713628,EIF2AK1,ENSG00000086232,UKB_hyperthyroid,0.990782429449724,0.637447890351222,1.53996873684126,-0.0387783824380079,0.470433187921574,1.33639427841641,0.512631949223236,,,3,3,1,0,LMM_binary,log_odds,TRUE
Weighted median,3,-0.216138158433314,0.107197957272115,0.0437735702720962,EIF2AK1,ENSG00000086232,UKB_hyperthyroid,0.805623990435991,0.652955594257361,0.993987982757364,-0.0387783824380079,0.470433187921574,1.33639427841641,0.512631949223236,,,3,3,1,0,LMM_binary,log_odds,TRUE
Weighted mode,3,-0.192987661539076,0.317142715972331,0.604748556082587,EIF2AK1,ENSG00000086232,UKB_hyperthyroid,0.824492147040488,0.442822004741224,1.53512538503746,-0.0387783824380079,0.470433187921574,1.33639427841641,0.512631949223236,,,3,3,1,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,2,-0.00828072337564575,0.172792980505113,0.961777768817164,EIF2AK2,ENSG00000055332,UKB_hyperthyroid,0.991753467374364,0.706837159835372,1.39151560775067,,,1.97894702132273,0.159501379843354,,,2,2,0,0,LMM_binary,log_odds,TRUE
Wald ratio,1,-0.0904651277736286,0.291540843776427,0.756332820852843,EIF2AK3,ENSG00000172071,UKB_hyperthyroid,0.913506189340141,0.515877893723276,1.61761837077357,,,,,,,1,1,1,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,3,-0.0947653098904998,0.109683728593875,0.387595060680673,EIF2AK4,ENSG00000128829,UKB_hyperthyroid,0.909586380347637,0.733633702435453,1.12773906183339,-0.0164539662882466,0.664136806751934,0.590627376938421,0.744298073119252,,,3,3,0,0,LMM_binary,log_odds,TRUE
MR Egger,3,0.00913812247443225,0.209357530933036,0.97223018839079,EIF2AK4,ENSG00000128829,UKB_hyperthyroid,1.00918000258694,0.669514378133258,1.52116864235389,-0.0164539662882466,0.664136806751934,0.590627376938421,0.744298073119252,,,3,3,0,0,LMM_binary,log_odds,TRUE
Weighted median,3,-0.0767894733433738,0.11264563079893,0.495434580563905,EIF2AK4,ENSG00000128829,UKB_hyperthyroid,0.92608479862162,0.742616951917174,1.1548794462932,-0.0164539662882466,0.664136806751934,0.590627376938421,0.744298073119252,,,3,3,0,0,LMM_binary,log_odds,TRUE
Weighted mode,3,-0.0762264245610503,0.29414445799053,0.819757097281636,EIF2AK4,ENSG00000128829,UKB_hyperthyroid,0.926606376362889,0.520612350964602,1.64921054048282,-0.0164539662882466,0.664136806751934,0.590627376938421,0.744298073119252,,,3,3,0,0,LMM_binary,log_odds,TRUE
Wald ratio,1,1.12620229246424,0.490243856062953,0.0216057224973706,EIF4A1,ENSG00000161960,UKB_hyperthyroid,3.08392239755395,1.17977569872282,8.06134366424965,,,,,,,1,1,0,0,LMM_binary,log_odds,TRUE
Wald ratio,1,-0.0125040908758458,0.0890508945010125,0.888332022476788,EIF4E,ENSG00000151247,UKB_hyperthyroid,0.987573760443975,0.829407370970291,1.17590217600368,,,,,,,2,1,0,1,LMM_binary,log_odds,TRUE
Wald ratio,1,0.0645553034176529,0.137207553526697,0.63800226189866,EIF4H,ENSG00000106682,UKB_hyperthyroid,1.06668456791563,0.81515948196293,1.39582007276596,,,,,,,1,1,0,0,LMM_binary,log_odds,TRUE
Wald ratio,1,0.157463200699082,0.197437610752087,0.425140984569802,ELANE,ENSG00000197561,UKB_hyperthyroid,1.17053768222072,0.79491942920555,1.72364445396434,,,,,,,1,1,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,2,-0.0268548789300314,0.206717987385428,0.896637076796194,ELOVL6,ENSG00000170522,UKB_hyperthyroid,0.973502506999223,0.64919500711044,1.45981888454751,,,2.46048623889639,0.116742638141549,,,2,2,0,0,LMM_binary,log_odds,TRUE
Wald ratio,1,-0.442634951228735,0.210979519522868,0.0359051791737079,EMC10,ENSG00000161671,UKB_hyperthyroid,0.642341650323767,0.42479235348227,0.97130466770015,,,,,,,1,1,0,0,LMM_binary,log_odds,TRUE
Wald ratio,1,-0.271370988657142,0.35638663036371,0.446387680924946,EMID1,ENSG00000186998,UKB_hyperthyroid,0.7623336268091,0.379125200482634,1.53287768215908,,,,,,,1,1,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,2,-0.0591195350448842,0.113884219385622,0.603677312757996,EMILIN2,ENSG00000132205,UKB_hyperthyroid,0.94259408939586,0.754022851020101,1.17832452446501,,,0.110176584564328,0.739943186315982,,,2,2,0,0,LMM_binary,log_odds,TRUE
Inverse variance weighted,5,0.00246788685317618,0.0523170258095781,0.962376324540623,EMR2,ENSG00000127507,UKB_hyperthyroid,1.00247093459258,0.904770929647121,1.11072089274008,0.0314044233359543,0.524325773200232,4.71009477894739,0.318357124242945,,,5,5,0,0,LMM_binary,log_odds,TRUE
MR Egger,5,-0.100741847277678,0.154093681491866,0.559901777807096,EMR2,ENSG00000127507,UKB_hyperthyroid,0.904166415782019,0.6684688616198,1.22296931744455,0.0314044233359543,0.524325773200232,4.71009477894739,0.318357124242945,,,5,5,0,0,LMM_binary,log_odds,TRUE
