gene_symbol,outcome,method,n_iv_preharm,n_iv_postharm,n_palindromic,n_removed
ADA,FinnGen_GO,Weighted median,3,3,0,0
ADA,FinnGen_GO,Weighted mode,3,3,0,0
ADAM10,BBJ_Graves,Inverse variance weighted,3,2,0,1
ADAM10,UKB_hyperthyroid,Inverse variance weighted,3,3,0,0
ADAM10,UKB_hyperthyroid,MR Egger,3,3,0,0
ADAM10,UKB_hyperthyroid,Weighted median,3,3,0,0
ADAM10,UKB_hyperthyroid,Weighted mode,3,3,0,0
ADAM10,FinnGen_GO,Inverse variance weighted,3,3,0,0
ADAM10,FinnGen_GO,MR Egger,3,3,0,0
ADAM10,FinnGen_GO,Weighted median,3,3,0,0
ADAM10,FinnGen_GO,Weighted mode,3,3,0,0
ADAM12,BBJ_Graves,Inverse variance weighted,2,2,0,0
ADAM12,UKB_hyperthyroid,Inverse variance weighted,2,2,0,0
ADAM12,FinnGen_GO,Inverse variance weighted,2,2,0,0
ADAM17,BBJ_Graves,Inverse variance weighted,2,2,0,0
ADAM17,UKB_hyperthyroid,Inverse variance weighted,2,2,0,0
ADAM17,FinnGen_GO,Inverse variance weighted,2,2,0,0
ADAM23,BBJ_Graves,Inverse variance weighted,2,2,0,0
ADAM23,UKB_hyperthyroid,Inverse variance weighted,2,2,0,0
ADAM23,FinnGen_GO,Inverse variance weighted,2,2,0,0
ADAM28,BBJ_Graves,Inverse variance weighted,3,2,0,1
ADAM28,UKB_hyperthyroid,Inverse variance weighted,3,3,0,0
ADAM28,UKB_hyperthyroid,MR Egger,3,3,0,0
ADAM28,UKB_hyperthyroid,Weighted median,3,3,0,0
ADAM28,UKB_hyperthyroid,Weighted mode,3,3,0,0
ADAM28,FinnGen_GO,Inverse variance weighted,3,3,0,0
ADAM28,FinnGen_GO,MR Egger,3,3,0,0
ADAM28,FinnGen_GO,Weighted median,3,3,0,0
ADAM28,FinnGen_GO,Weighted mode,3,3,0,0
ADAM8,BBJ_Graves,Inverse variance weighted,2,2,0,0
ADAM8,UKB_hyperthyroid,Inverse variance weighted,2,2,0,0
ADAM8,FinnGen_GO,Inverse variance weighted,2,2,0,0
ADAM9,BBJ_Graves,Wald ratio,1,1,0,0
ADAM9,UKB_hyperthyroid,Wald ratio,1,1,0,0
ADAM9,FinnGen_GO,Wald ratio,1,1,0,0
ADAMDEC1,BBJ_Graves,Wald ratio,1,1,0,0
ADAMDEC1,UKB_hyperthyroid,Wald ratio,1,1,0,0
ADAMDEC1,FinnGen_GO,Wald ratio,1,1,0,0
ADAMTS1,BBJ_Graves,Inverse variance weighted,2,2,0,0
ADAMTS1,UKB_hyperthyroid,Inverse variance weighted,2,2,0,0
ADAMTS1,FinnGen_GO,Inverse variance weighted,2,2,0,0
ADAMTS10,UKB_hyperthyroid,Wald ratio,1,1,0,0
ADAMTS10,FinnGen_GO,Wald ratio,1,1,0,0
ADAMTS13,BBJ_Graves,Wald ratio,1,1,0,0
ADAMTS13,UKB_hyperthyroid,Wald ratio,1,1,0,0
