Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
45,triglyceride catabolic process (GO:0019433),0.0034461530563075866,453.97727272727275,2574.27663877793,['FABP4'],0.011350128067689496,0,0
46,negative regulation of intracellular protein transport (GO:0090317),0.0034461530563075866,453.97727272727275,2574.27663877793,['ADIPOQ'],0.011350128067689496,0,0
47,positive regulation of cholesterol efflux (GO:0010875),0.0034461530563075866,453.97727272727275,2574.27663877793,['ADIPOQ'],0.011350128067689496,0,0
48,negative regulation of synaptic transmission (GO:0050805),0.0035958067387344135,434.2173913043478,2443.7697931466887,['ADIPOQ'],0.011350128067689496,0,0
49,negative regulation of signaling (GO:0023057),0.0037454454654532016,416.1041666666667,2324.8633249285726,['ADIPOQ'],0.011350128067689496,0,0
50,response to hexose (GO:0009746),0.0037454454654532016,416.1041666666667,2324.8633249285726,['ADIPOQ'],0.011350128067689496,0,0
51,regulation of heterotypic cell-cell adhesion (GO:0034114),0.0037454454654532016,416.1041666666667,2324.8633249285726,['ADIPOQ'],0.011350128067689496,0,0
52,negative regulation of cellular carbohydrate metabolic process (GO:0010677),0.0037454454654532016,416.1041666666667,2324.8633249285726,['ADIPOQ'],0.011350128067689496,0,0
53,positive regulation of lipid metabolic process (GO:0045834),0.0037454454654532016,416.1041666666667,2324.8633249285726,['ADIPOQ'],0.011350128067689496,0,0
54,positive regulation of glucose import (GO:0046326),0.003895069234369013,399.44,2216.1106253087632,['ADIPOQ'],0.011350128067689496,0,0
55,negative regulation of protein transport (GO:0051224),0.003895069234369013,399.44,2216.1106253087632,['ADIPOQ'],0.011350128067689496,0,0
56,negative regulation of receptor-mediated endocytosis (GO:0048261),0.003895069234369013,399.44,2216.1106253087632,['ADIPOQ'],0.011350128067689496,0,0
57,cellular response to drug (GO:0035690),0.003895069234369013,399.44,2216.1106253087632,['ADIPOQ'],0.011350128067689496,0,0
58,regulation of small molecule metabolic process (GO:0062012),0.004194271900919973,369.81481481481484,2024.379431258311,['ADIPOQ'],0.011350128067689496,0,0
59,positive regulation of cell communication (GO:0010647),0.004194271900919973,369.81481481481484,2024.379431258311,['ADIPOQ'],0.011350128067689496,0,0
60,regulation of fatty acid biosynthetic process (GO:0042304),0.00434385079686094,356.5892857142857,1939.4870011141588,['ADIPOQ'],0.011350128067689496,0,0
61,regulation of gluconeogenesis (GO:0006111),0.00434385079686094,356.5892857142857,1939.4870011141588,['ADIPOQ'],0.011350128067689496,0,0
62,negative regulation of myeloid leukocyte differentiation (GO:0002762),0.00434385079686094,356.5892857142857,1939.4870011141588,['ADIPOQ'],0.011350128067689496,0,0
63,regulation of DNA biosynthetic process (GO:2000278),0.00434385079686094,356.5892857142857,1939.4870011141588,['ADIPOQ'],0.011350128067689496,0,0
64,regulation of macrophage derived foam cell differentiation (GO:0010743),0.0046429637132384795,332.78333333333336,1787.845973802925,['ADIPOQ'],0.011350128067689496,0,0
65,positive regulation of glucose transmembrane transport (GO:0010828),0.004792497734793632,322.03225806451616,1719.8788256956173,['ADIPOQ'],0.011350128067689496,0,0
66,regulation of cellular biosynthetic process (GO:0031326),0.004792497734793632,322.03225806451616,1719.8788256956173,['ADIPOQ'],0.011350128067689496,0,0
67,long-chain fatty acid transport (GO:0015909),0.004792497734793632,322.03225806451616,1719.8788256956173,['FABP4'],0.011350128067689496,0,0
68,regulation of intracellular protein transport (GO:0033157),0.004792497734793632,322.03225806451616,1719.8788256956173,['ADIPOQ'],0.011350128067689496,0,0
69,negative regulation of DNA biosynthetic process (GO:2000279),0.004792497734793632,322.03225806451616,1719.8788256956173,['ADIPOQ'],0.011350128067689496,0,0
70,negative regulation of smooth muscle cell proliferation (GO:0048662),0.004942016796379297,311.953125,1656.4654076932638,['ADIPOQ'],0.011350128067689496,0,0
71,regulation of cholesterol efflux (GO:0010874),0.004942016796379297,311.953125,1656.4654076932638,['ADIPOQ'],0.011350128067689496,0,0
72,positive regulation of cholesterol transport (GO:0032376),0.004942016796379297,311.953125,1656.4654076932638,['ADIPOQ'],0.011350128067689496,0,0
73,regulation of glucose metabolic process (GO:0010906),0.005091520900981562,302.4848484848485,1597.1740514070286,['ADIPOQ'],0.011350128067689496,0,0
74,acylglycerol catabolic process (GO:0046464),0.005241010046096412,293.5735294117647,1541.6253665904292,['FABP4'],0.011350128067689496,0,0
75,regulation of lipid biosynthetic process (GO:0046890),0.005241010046096412,293.5735294117647,1541.6253665904292,['ADIPOQ'],0.011350128067689496,0,0
76,activation of adenylate cyclase activity (GO:0007190),0.005390484233154448,285.1714285714286,1489.484608802673,['TSHR'],0.011350128067689496,0,0
77,negative regulation of cellular protein localization (GO:1903828),0.005390484233154448,285.1714285714286,1489.484608802673,['ADIPOQ'],0.011350128067689496,0,0
78,negative regulation of DNA metabolic process (GO:0051053),0.005390484233154448,285.1714285714286,1489.484608802673,['ADIPOQ'],0.011350128067689496,0,0
79,negative regulation of fat cell differentiation (GO:0045599),0.005390484233154448,285.1714285714286,1489.484608802673,['ADIPOQ'],0.011350128067689496,0,0
80,regulation of glucose import (GO:0046324),0.005539943461610349,277.2361111111111,1440.4553417617176,['ADIPOQ'],0.011350128067689496,0,0
81,regulation of protein autophosphorylation (GO:0031952),0.005539943461610349,277.2361111111111,1440.4553417617176,['ADIPOQ'],0.011350128067689496,0,0
82,regulation of vascular associated smooth muscle cell proliferation (GO:1904705),0.005539943461610349,277.2361111111111,1440.4553417617176,['ADIPOQ'],0.011350128067689496,0,0
83,positive regulation of cell development (GO:0010720),0.005689387732894645,269.72972972972974,1394.274144706199,['ADIPOQ'],0.01137877546578929,0,0
84,positive regulation of signaling (GO:0023056),0.005689387732894645,269.72972972972974,1394.274144706199,['ADIPOQ'],0.01137877546578929,0,0
85,negative regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043124),0.005988231401979197,255.87179487179486,1309.541398623503,['ADIPOQ'],0.011835563241558883,0,0
86,hexose metabolic process (GO:0019318),0.006137630800512576,249.4625,1270.5914609940403,['ADIPOQ'],0.011851976718231181,0,0
87,negative regulation of cell-cell adhesion (GO:0022408),0.006137630800512576,249.4625,1270.5914609940403,['ADIPOQ'],0.011851976718231181,0,0
88,negative regulation of tumor necrosis factor production (GO:0032720),0.0068844034482568265,221.6888888888889,1103.6774229731402,['ADIPOQ'],0.012995278419181425,0,0
89,positive regulation of response to stimulus (GO:0048584),0.0068844034482568265,221.6888888888889,1103.6774229731402,['ADIPOQ'],0.012995278419181425,0,0
90,negative regulation of cold-induced thermogenesis (GO:0120163),0.007033713110919517,216.8586956521739,1074.9773440238823,['ADIPOQ'],0.013116796885636047,0,0
91,negative regulation of MAP kinase activity (GO:0043407),0.007183007818324503,212.2340425531915,1047.5951010155554,['ADIPOQ'],0.013116796885636047,0,0
