Rank,Term,P-value,Z-score,Combined Score,Overlapping Genes,Adjusted P-value,Old P-value,Old Adjusted P-value
11,carbohydrate homeostasis (GO:0033500),2.2705024512610282e-06,178.43283582089552,2318.8255963917545,"['CEBPA', 'IL6', 'PPARG']",0.00011352512256305142,0,0
12,positive regulation of gliogenesis (GO:0014015),2.9369802283161735e-06,1332.4666666666667,16973.131805450383,"['IL6', 'TNF']",0.00012425685581337657,0,0
13,cellular response to platelet-derived growth factor stimulus (GO:0036120),2.9369802283161735e-06,1332.4666666666667,16973.131805450383,"['HAS1', 'HAS2']",0.00012425685581337657,0,0
14,regulation of fat cell differentiation (GO:0045598),3.401446430206148e-06,155.1818181818182,1953.942347458492,"['IL6', 'PPARG', 'TNF']",0.00012949233246100308,0,0
15,regulation of interleukin-8 production (GO:0032677),3.5316090671182663e-06,153.1846153846154,1923.0424322384467,"['IL6', 'ARRB1', 'TNF']",0.00012949233246100308,0,0
16,glucose homeostasis (GO:0042593),4.232139445273557e-06,143.92048192771085,1780.6997581427229,"['CEBPA', 'IL6', 'PPARG']",0.00014547979343127853,0,0
17,positive regulation of inflammatory response (GO:0050729),4.693651562130212e-06,138.87906976744185,1703.9489281687297,"['CEBPA', 'IL6', 'TNF']",0.00014568751186223034,0,0
18,negative regulation of lipid localization (GO:1905953),5.032841318877048e-06,951.6666666666666,11609.882108963659,"['IL6', 'TNF']",0.00014568751186223034,0,0
19,regulation of glial cell proliferation (GO:0060251),5.032841318877048e-06,951.6666666666666,11609.882108963659,"['IL6', 'TNF']",0.00014568751186223034,0,0
20,glycosaminoglycan biosynthetic process (GO:0006024),6.084621613358362e-06,127.00851063829788,1525.3399547590197,"['HAS1', 'HAS3', 'HAS2']",0.00016732709436735496,0,0
21,response to corticosteroid (GO:0031960),7.686024286039395e-06,740.1111111111111,8715.627566800247,"['IL6', 'TNF']",0.00020130063606293655,0,0
22,regulation of interleukin-6 production (GO:0032675),8.884848222799258e-06,111.50467289719626,1296.9290456785186,"['IL6', 'ARRB1', 'TNF']",0.00020152539200390734,0,0
23,negative regulation of gene silencing by miRNA (GO:0060965),9.221402746009655e-06,666.0666666666667,7722.365870178143,"['PPARG', 'TNF']",0.00020152539200390734,0,0
24,negative regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903799),9.221402746009655e-06,666.0666666666667,7722.365870178143,"['IL6', 'TNF']",0.00020152539200390734,0,0
25,positive regulation of neuroinflammatory response (GO:0150078),9.221402746009655e-06,666.0666666666667,7722.365870178143,"['IL6', 'TNF']",0.00020152539200390734,0,0
26,positive regulation of transcription by RNA polymerase II (GO:0045944),9.526654894730166e-06,35.23255813953488,407.33829345042534,"['CEBPA', 'IL6', 'ARRB1', 'PPARG', 'TNF']",0.00020152539200390734,0,0
27,regulation of leukocyte adhesion to vascular endothelial cell (GO:1904994),1.0895861205044152e-05,605.4848484848485,6918.952591288204,"['IL6', 'TNF']",0.0002219527282508994,0,0
28,positive regulation of acute inflammatory response (GO:0002675),1.4661684218577711e-05,512.2820512820513,5701.83907495754,"['IL6', 'TNF']",0.00028799736857920504,0,0
29,positive regulation of leukocyte adhesion to vascular endothelial cell (GO:1904996),1.675288186561917e-05,475.6666666666667,5230.877918345019,"['IL6', 'TNF']",0.0003177270698651911,0,0
30,positive regulation of cytokine production involved in inflammatory response (GO:1900017),1.8982825688105916e-05,443.93333333333334,4826.432500640291,"['IL6', 'TNF']",0.00034801847094860847,0,0
31,interleukin-6-mediated signaling pathway (GO:0070102),2.1351432280008236e-05,416.1666666666667,4475.619360309719,"['CEBPA', 'IL6']",0.0003599130524196305,0,0
32,regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903798),2.1351432280008236e-05,416.1666666666667,4475.619360309719,"['IL6', 'TNF']",0.0003599130524196305,0,0
33,cellular response to cytokine stimulus (GO:0071345),2.1594783145177827e-05,40.82426778242678,438.5775089882659,"['CEBPA', 'IL6', 'HAS2', 'TNF']",0.0003599130524196305,0,0
34,negative regulation of nervous system development (GO:0051961),2.3858618257288482e-05,391.6666666666667,4168.651312579773,"['IL6', 'TNF']",0.0003749211440431047,0,0
35,regulation of neuroinflammatory response (GO:0150077),2.3858618257288482e-05,391.6666666666667,4168.651312579773,"['IL6', 'TNF']",0.0003749211440431047,0,0
36,positive regulation of nucleic acid-templated transcription (GO:1903508),2.7170815345394224e-05,38.43195266272189,404.0492277101144,"['IL6', 'HAS3', 'PPARG', 'TNF']",0.0004151096788879673,0,0
37,regulation of lipid storage (GO:0010883),3.2210818955169004e-05,332.8666666666667,3442.9092260043108,"['IL6', 'TNF']",0.00047880947095521495,0,0
38,negative regulation of cytokine production (GO:0001818),4.013736429494852e-05,66.4122905027933,672.305090455949,"['IL6', 'ARRB1', 'TNF']",0.0005809355358479391,0,0
39,negative regulation of cell development (GO:0010721),4.528214327454185e-05,277.3333333333333,2774.0537874782267,"['IL6', 'TNF']",0.000606949279957674,0,0
40,negative regulation of signaling receptor activity (GO:2000272),4.528214327454185e-05,277.3333333333333,2774.0537874782267,"['PPARG', 'TNF']",0.000606949279957674,0,0
41,"regulation of transcription, DNA-templated (GO:0006355)",4.539474057535941e-05,23.798927613941018,237.9919964992826,"['CEBPA', 'IL6', 'HAS3', 'ARRB1', 'PPARG', 'TNF']",0.000606949279957674,0,0
42,negative regulation of cell differentiation (GO:0045596),4.634885410585874e-05,63.204255319148935,630.7351092639612,"['IL6', 'PPARG', 'TNF']",0.000606949279957674,0,0
43,response to glucocorticoid (GO:0051384),4.889496527853119e-05,266.2266666666667,2642.522265790654,"['IL6', 'TNF']",0.0006254007186788873,0,0
44,cellular response to interleukin-6 (GO:0071354),5.264561729676873e-05,255.97435897435898,2521.840843132077,"['CEBPA', 'IL6']",0.0006580702162096091,0,0
45,positive regulation of leukocyte migration (GO:0002687),5.653401620655799e-05,246.4814814814815,2410.7535494184467,"['IL6', 'TNF']",0.0006909713091912642,0,0
46,regulation of macrophage activation (GO:0043030),6.056007889723947e-05,237.66666666666666,2308.1888742091614,"['CEBPA', 'IL6']",0.0007240878998582981,0,0
47,negative regulation of interleukin-6 production (GO:0032715),6.472372230222047e-05,229.45977011494253,2213.227313746579,"['ARRB1', 'TNF']",0.0007574052609834311,0,0
48,liver development (GO:0001889),6.902486337983755e-05,221.8,2125.0755102787357,"['CEBPA', 'IL6']",0.000774768874671646,0,0
49,positive regulation of receptor signaling pathway via STAT (GO:1904894),6.902486337983755e-05,221.8,2125.0755102787357,"['IL6', 'TNF']",0.000774768874671646,0,0
50,positive regulation of receptor signaling pathway via JAK-STAT (GO:0046427),7.34634191149693e-05,214.63440860215053,2043.045476334213,"['IL6', 'TNF']",0.0008080976102646624,0,0
51,negative regulation of blood vessel endothelial cell migration (GO:0043537),7.803930652018581e-05,207.91666666666666,1966.537777625364,"['PPARG', 'TNF']",0.0008254157420404269,0,0
52,positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895),7.803930652018581e-05,207.91666666666666,1966.537777625364,"['PPARG', 'TNF']",0.0008254157420404269,0,0
53,negative regulation of neurogenesis (GO:0050768),8.27524426363012e-05,201.6060606060606,1895.0278240356051,"['IL6', 'TNF']",0.0008587517632068993,0,0
54,negative regulation of fat cell differentiation (GO:0045599),8.760274454585359e-05,195.66666666666666,1828.0546203524366,"['IL6', 'TNF']",0.0008922501759299903,0,0
55,negative regulation of endothelial cell migration (GO:0010596),9.771451414336942e-05,184.77777777777777,1706.1383034595449,"['PPARG', 'TNF']",0.0009659454060862405,0,0
56,positive regulation of DNA-binding transcription factor activity (GO:0051091),9.835080498332631e-05,48.762962962962966,449.9343879967386,"['IL6', 'PPARG', 'TNF']",0.0009659454060862405,0,0
57,cellular component assembly (GO:0022607),0.00011721171231954791,45.89302325581395,415.40201948625236,"['HAS1', 'HAS3', 'HAS2']",0.001130990206592129,0,0
58,regulation of chemokine production (GO:0032642),0.00011958039723947946,166.26666666666668,1501.6409967738412,"['IL6', 'TNF']",0.0011339520427881672,0,0
59,regulation of cytokine production involved in inflammatory response (GO:1900015),0.0001253885401588909,162.20325203252034,1457.2491531056257,"['IL6', 'TNF']",0.0011688762218201696,0,0
60,positive regulation of MAPK cascade (GO:0043410),0.00013535474375265513,43.662730627306274,388.9306412159534,"['IL6', 'ARRB1', 'TNF']",0.0012189974111763472,0,0
61,regulation of receptor signaling pathway via JAK-STAT (GO:0046425),0.0001374142536235155,154.64341085271317,1375.1681463191144,"['IL6', 'TNF']",0.0012189974111763472,0,0
62,regulation of pri-miRNA transcription by RNA polymerase II (GO:1902893),0.0001374142536235155,154.64341085271317,1375.1681463191144,"['PPARG', 'TNF']",0.0012189974111763472,0,0
63,positive regulation of smooth muscle cell proliferation (GO:0048661),0.00014363165889914778,151.12121212121212,1337.159543603372,"['IL6', 'TNF']",0.0012539271808655757,0,0
64,extracellular matrix organization (GO:0030198),0.0001769566107888553,39.78787878787879,343.7515959937793,"['HAS1', 'HAS3', 'HAS2']",0.001520720873966725,0,0
65,positive regulation of chemokine production (GO:0032722),0.00019096402907356786,130.33333333333334,1116.0997871835484,"['IL6', 'TNF']",0.0016158494767763434,0,0
66,negative regulation of cytokine-mediated signaling pathway (GO:0001960),0.0002057099035637798,125.40251572327044,1064.547425630908,"['IL6', 'PPARG']",0.0016886633874638641,0,0
67,regulation of blood vessel endothelial cell migration (GO:0043535),0.0002057099035637798,125.40251572327044,1064.547425630908,"['PPARG', 'TNF']",0.0016886633874638641,0,0
68,positive regulation of interleukin-1 beta production (GO:0032731),0.0002132861522526422,123.07407407407408,1040.3298692469639,"['IL6', 'TNF']",0.0017251085843963706,0,0
69,fat cell differentiation (GO:0045444),0.00022884486091265618,118.66666666666667,994.7193280076498,"['CEBPA', 'PPARG']",0.0018241257029269695,0,0
70,positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531),0.00023682715642170133,116.57894736842105,973.2220345915347,"['IL6', 'TNF']",0.0018607848004562246,0,0
71,positive regulation of interleukin-8 production (GO:0032757),0.00025319721872997823,112.61581920903954,932.6100968393627,"['IL6', 'TNF']",0.001961386905654761,0,0
72,positive regulation of interleukin-1 production (GO:0032732),0.00026158482125483696,110.73333333333333,913.4118006796981,"['IL6', 'TNF']",0.0019708445437008264,0,0
73,regulation of neurogenesis (GO:0050767),0.00026158482125483696,110.73333333333333,913.4118006796981,"['IL6', 'TNF']",0.0019708445437008264,0,0
74,lipid homeostasis (GO:0055088),0.0002787647583728535,107.15053763440861,877.0423971758042,"['CEBPA', 'PPARG']",0.0020719002311495867,0,0
75,chemical homeostasis (GO:0048878),0.0002875569288187182,105.44444444444444,859.8034587933385,"['CEBPA', 'PPARG']",0.0021087508113372664,0,0
76,regulation of tyrosine phosphorylation of STAT protein (GO:0042509),0.00031474126366608674,100.63636363636364,811.5074475931799,"['IL6', 'TNF']",0.0022777328291624698,0,0
77,positive regulation of protein phosphorylation (GO:0001934),0.0003308463508111632,31.995652173913044,256.40856473947036,"['IL6', 'ARRB1', 'TNF']",0.0023631882200797374,0,0
78,myeloid leukocyte differentiation (GO:0002573),0.00034313561284053304,96.2463768115942,767.7943849934436,"['CEBPA', 'PPARG']",0.0024195459879781177,0,0
79,negative regulation of cell population proliferation (GO:0008285),0.00035223997431884486,31.302127659574467,248.88941075527458,"['CEBPA', 'IL6', 'PPARG']",0.002452303618675502,0,0
80,positive regulation of macromolecule metabolic process (GO:0010604),0.0003660566267685236,30.883464566929135,244.37228553062224,"['IL6', 'ARRB1', 'TNF']",0.0025166393090335997,0,0
81,regulation of peptide hormone secretion (GO:0090276),0.00037273776579999356,92.22222222222223,728.0608226495283,"['IL6', 'TNF']",0.0025309354467900795,0,0
82,positive regulation of interleukin-6 production (GO:0032755),0.0003931424461075261,89.72072072072072,703.5305464332449,"['IL6', 'TNF']",0.002636931040965114,0,0
83,activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919),0.00044649407260485916,84.0210970464135,648.145836767381,"['PPARG', 'TNF']",0.0029234730944365777,0,0
84,positive regulation of cellular amide metabolic process (GO:0034250),0.00044649407260485916,84.0210970464135,648.145836767381,"['IL6', 'TNF']",0.0029234730944365777,0,0
85,regulation of interleukin-1 beta production (GO:0032651),0.00046876897992289884,81.93827160493827,628.0896673919547,"['IL6', 'TNF']",0.0029979411506697016,0,0
86,regulation of osteoblast differentiation (GO:0045667),0.00046876897992289884,81.93827160493827,628.0896673919547,"['IL6', 'PPARG']",0.0029979411506697016,0,0
87,negative regulation of angiogenesis (GO:0016525),0.0005149167919037894,78.06666666666666,591.0821756948658,"['PPARG', 'TNF']",0.003255221098242347,0,0
88,positive regulation of cellular component biogenesis (GO:0044089),0.0005755910882831092,73.71111111111111,549.893223076455,"['HAS3', 'TNF']",0.0035974443017694323,0,0
89,positive regulation of peptidyl-serine phosphorylation (GO:0033138),0.0005881237389662702,72.8974358974359,542.2529124166269,"['IL6', 'TNF']",0.00363447254417358,0,0
90,negative regulation of nucleic acid-templated transcription (GO:1903507),0.0006369510353786983,25.419956616052062,187.06082853214252,"['CEBPA', 'PPARG', 'TNF']",0.0038924785495364892,0,0
